Equipment Number,Part,Date,Start Time,Finish Time,Stopped Time(min),Stopped Time(hour),Cause of Failure,Failure Handling,MTTR,MTBF,Failure Strength Ratio,Price Weighting by Part,Risk Likelihood,Risk Impact
Unit 4,extruder,01/17,03:40:00,07:10:00,210,3.5,AUX PUMP MOTOR,Bearing replacement work,1.88,68.7,2.74,0.35,6.003347889,4.733211677
Unit 4,extruder,02/19,13:40:00,16:40:00,180,3,Oil cooler coolant pump failure,Coolant pump bearing replacement and seal replacement,1.77,120.1,1.47,0.35,2.999666944,4.694711677
Unit 4,extruder,03/13,06:45:00,07:20:00,35,0.6,Trans bear not operating,Limit switch replacement work,0.35,115.9,0.3,0.35,4.001553063,4.197711677
Unit 4,extruder,04/05,09:20:00,09:25:00,5,0.1,Office panel cycle switch,replacement work,0.68,31.5,2.15,0.35,11.98634921,4.313211677
Unit 4,extruder,04/06,11:30:00,12:15:00,45,0.7,Container heater temperature does not rise,Electric magnetic replacement work,0.68,31.5,2.15,0.35,11.98634921,4.313211677
Unit 4,extruder,07/04,08:30:00,09:55:00,85,1.4,Alcohol after replacing the container,Temporary jam removal operation between ribu rodda,1.02,79.8,1.28,0.35,5.001629073,4.432211677
Unit 4,extruder,08/17,04:30:00,05:15:00,45,0.8,Main cylinder not retracting,"PLC card contacts burned out, replaced with spare parts",1.03,39.2,2.63,0.35,9.989795918,4.435711677
Unit 4,extruder,08/31,08:55:00,10:10:00,75,1.3,container block pilot,Replacement work after purchasing the piping PT unit horn leaflet,1.03,39.2,2.63,0.35,9.989795918,4.435711677
Unit 4,extruder,09/05,10:00:00,11:30:00,90,1.5,Upward operation is not possible after the transbear is lowered.,Replace KPS-AP500 due to abnormal billet detection photo sensor when passing the extruder billet in Transbear.,0.8,36.2,2.21,0.35,10.98895028,4.355211677
Unit 4,extruder,09/06,00:30:00,01:30:00,60,1,Main ram hydraulic pipe crack leak,Main ram hydraulic pipe crack leak welding repair,0.8,36.2,2.21,0.35,10.98895028,4.355211677
Unit 4,extruder,,11:00:00,11:10:00,10,0.2,Container heater temperature cannot rise,Normal operation after recovery with circuit breaker trip.,0.8,36.2,2.21,0.35,10.98895028,4.355211677
Unit 4,extruder,10/06,13:50:00,16:25:00,155,2.6,Main RAM leak,Adapter replacement work (lack of pallets),0.95,34.6,2.75,0.35,13.00867052,4.407711677
Unit 4,extruder,10/25,23:30:00,23:40:00,10,0.2,Connection request due to disconnection on container temperature sensor terminal block,Normal operation after connecting broken wire,0.95,34.6,2.75,0.35,13.00867052,4.407711677
Unit 4,extruder,08/07,01:45:00,04:15:00,150,2.5,STEM dummy bolt damaged,Dummy bolt replacement,7.34,56.1,2.08,0.35,5.997682709,6.644211677
Unit 4,extruder,09/03,03:10:00,05:30:00,140,2.3,Container cannot move backwards,Relief replacement and container limit replacement,5.02,43.7,2.83,0.35,8.924942792,5.832211677
Unit 4,extruder,09/18,08:30:00,11:10:00,160,2.7,Main ram leak,Packing replacement work,5.02,43.7,2.83,0.35,8.924942792,5.832211677
Unit 4,extruder,09/23,23:27:00,23:48:00,21,0.4,momentary power outage,Restart after simple inspection,5.02,43.7,2.83,0.35,8.924942792,5.832211677
Unit 4,extruder,11/09,21:25:00,00:20:00,175,2.9,automatic driving disabled,"Replace defective magnetic/manual selector S/W
CYCLE STOP PB S/W inspection",10.21,92.7,5.18,0.35,4.00021575,7.648711677
Unit 4,extruder,11/27,06:40:00,08:30:00,110,1.8,Transformer bearing damage,Bearing replacement and commissioning,10.21,92.7,5.18,0.35,4.00021575,7.648711677
Unit 4,heating furnace,01/19,10:05:00,10:40:00,35,0.6,Logsha descent S/V fuse inspection,Normal operation after PLC output power ON/OFF,1.88,68.7,2.74,0.25,6.003347889,3.380865483
Unit 4,heating furnace,01/20,10:55:00,12:00:00,65,1.1,Logsha pushback cylinder leakage,Hydraulic cylinder replacement (spare part),1.88,68.7,2.74,0.25,6.003347889,3.380865483
Unit 4,heating furnace,03/17,22:30:00,22:50:00,20,0.3,Logsha Storage Clump,Determine the cause of the descent alarm and take action to clear it,0.35,115.9,0.3,0.25,4.001553063,2.998365483
Unit 4,heating furnace,04/27,23:40:00,05:00:00,320,5.3,Billet heating furnace Billet heating furnace,Adjusting the position of the derailment probe on the rail,0.68,31.5,2.15,0.25,11.98634921,3.080865483
Unit 4,heating furnace,04/28,01:30:00,02:30:00,60,1,Damage to rail blocks due to billet heating,Fixing derailment due to corrosion of rail brackets,0.68,31.5,2.15,0.25,11.98634921,3.080865483
Unit 4,heating furnace,06/30,18:30:00,19:00:00,30,0.5,Eject cold leaking oil,Spare parts loading replacement work,1,98.8,1.01,0.25,4.000506073,3.160865483
Unit 4,heating furnace,07/12,22:05:00,22:40:00,35,0.6,logsha descent action fire,Fall detection sensor L/S switch burnout replacement work,1.02,79.8,1.28,0.25,5.001629073,3.165865483
Unit 4,heating furnace,08/10,02:50:00,03:05:00,15,0.3,Panel ZONE#3 TIC temperature not displayed,ZONE#3 TIC disassembly and inspection and reassembly,1.03,39.2,2.63,0.25,9.989795918,3.168365483
Unit 4,heating furnace,08/12,21:00:00,21:40:00,40,0.7,ZONE#1 Pilot ignition disabled,Cleaning of UV sensor detection area and replacement of spark plug,1.03,39.2,2.63,0.25,9.989795918,3.168365483
Unit 4,heating furnace,08/17,04:00:00,04:10:00,10,0.2,ZONE#3 Damage to insulators and external pipes,"4-hole insulator, external cylinder replacement",1.03,39.2,2.63,0.25,9.989795918,3.168365483
Unit 4,heating furnace,08/25,01:40:00,01:50:00,10,0.2,OP touch screen heating does not display or set temperature,Repair after inspecting the touch screen connection connector,1.03,39.2,2.63,0.25,9.989795918,3.168365483
Unit 4,heating furnace,08/26,07:45:00,08:30:00,45,0.8,Panel ZONE#3 TIC temperature screen defective,Change settings after replacing TIC,1.03,39.2,2.63,0.25,9.989795918,3.168365483
Unit 4,heating furnace,08/27,01:40:00,03:20:00,100,1.7,Logsha side clamp leak,Bushing cover o-ring replacement,1.03,39.2,2.63,0.25,9.989795918,3.168365483
Unit 4,heating furnace,09/05,10:00:00,11:30:00,90,1.5,Operation not working after lowering the transformer,Replace the sensor due to poor contact with the lowering sensor.,0.78,79.6,0.98,0.25,4.997487437,3.105865483
Unit 4,heating furnace,09/05,08:30:00,08:50:00,20,0.3,Logsha Hydraulic Pump Motor Trip,PLC output card fuse replacement work,0.78,79.6,0.98,0.25,4.997487437,3.105865483
Unit 4,heating furnace,09/05,08:30:00,08:50:00,20,0.3,Hydraulic pump does not start.,Normal operation after replacement due to burnout of PLC output card fuse,0.8,36.2,2.21,0.25,10.98895028,3.110865483
Unit 4,heating furnace,10/11,03:00:00,03:20:00,20,0.3,"ZONE#3 Insulator and external tube damaged, request for replacement",External cylinder and insulator replacement work,0.95,34.6,2.75,0.25,13.00867052,3.148365483
Unit 4,heating furnace,10/25,09:50:00,10:10:00,20,0.3,ZONE#1 Thermocouple bending and insulator damage,Thermocouple calibration and insulator replacement,0.95,34.6,2.75,0.25,13.00867052,3.148365483
Unit 4,heating furnace,10/03,20:50:00,21:50:00,60,1,"During normal operation, CP(107) in the panel is completely turned off due to TRIP.",CP(107) TRIP recovery and leakage inspection,0.95,34.6,2.75,0.25,13.00867052,3.148365483
Unit 4,heating furnace,11/25,08:30:00,09:30:00,60,1,HOT JAT FAN Open/close operation is disabled due to disconnection of the wiring on the motor control motor side.,"Connecting disconnected parts, adjusting fuel efficiency.",1,231.2,0.43,0.25,2,3.160865483
Unit 4,heating furnace,11/24,06:41:00,07:40:00,59,1,Request inspection with hydraulic motor EOCR TRIP.,"Relief pressure adjustment with rated - 65A load current - 100A.
Load current 20~60A",1,231.2,0.43,0.25,2,3.160865483
Unit 4,heating furnace,08/04,09:20:00,09:25:00,5,0.1,Billet heating furnace inoperable,"No. 4 operation CP TRIP occurs twice, after re-injection
in normal operation",7.34,56.1,2.08,0.25,5.997682709,4.745865483
Unit 4,heating furnace,08/08,22:30:00,00:10:00,100,1.7,Guide board crack phenomenon,Welding work on crack areas,7.34,56.1,2.08,0.25,5.997682709,4.745865483
Unit 4,heating furnace,09/05,04:20:00,04:50:00,25,0.4,zone#3 External cylinder and insulator damage,External cylinder and insulator replacement,5.02,43.7,2.83,0.25,8.924942792,4.165865483
Unit 4,heating furnace,09/05,06:10:00,06:35:00,25,0.4,Damage to the heating furnace outlet guide plate,Welding work on damaged areas,5.02,43.7,2.83,0.25,8.924942792,4.165865483
Unit 4,heating furnace,09/29,08:30:00,09:45:00,75,1.3,Inoperable due to billet heating,"Hydraulic pump relief pressure adjustment
Logsha UP detection L/S replacement
Replace defective HOT JAT FAN ring gauge",5.02,43.7,2.83,0.25,8.924942792,4.165865483
Unit 4,heating furnace,10/14,06:40:00,07:00:00,20,0.3,ZONE#4 temperature abnormality,Replace the compensation conductor with a disconnection.,9.09,110.5,0.7,0.25,4.000180995,5.183365483
Unit 4,heating furnace,11/04,03:50:00,04:00:00,15,0.3,Cradle UP detection sensor defective,Proximity sensor PRL18-8AO replacement,10.21,92.7,5.18,0.25,4.00021575,5.463365483
Unit 4,heating furnace,11/22,03:50:00,18:00:00,850,14.2,"due to worker negligence
Delete PLC program",Partial operation is disabled after program installation,10.21,92.7,5.18,0.25,4.00021575,5.463365483
Unit 4,fuller,01/25,09:00:00,14:00:00,300,5,Fuller distance error,Normal operation after POWER SUPPLY replacement,1.88,68.7,2.74,0.09,6.003347889,1.217111574
Unit 4,fuller,02/18,20:40:00,21:10:00,30,0.5,Puller stop sensor failure,Sensor replacement work,1.77,120.1,1.47,0.09,2.999666944,1.207211574
Unit 4,fuller,03/15,21:00:00,21:10:00,10,0.2,No puller jaw down action,Limit switch replacement work,0.89,115.9,0.3,0.09,4.001553063,1.128011574
Unit 4,fuller,10/21,16:10:00,17:30:00,80,1.3,Puller wire burst,Puller wire burst replacement work,0.95,34.6,2.75,0.09,13.00867052,1.133411574
Unit 4,fuller,09/11,19:20:00,19:40:00,20,0.3,wing bending phenomenon,Correction work on the relevant area,5.02,43.7,2.83,0.09,8.924942792,1.499711574
Unit 4,fuller,09/25,17:00:00,20:00:00,130,2.2,Roller brake released,Normal operation after brake adjustment and MC replacement,5.02,43.7,2.83,0.09,8.924942792,1.499711574
Unit 4,fuller,10/14,21:25:00,23:05:00,100,1.7,Rail fixing bolt damaged,Bolt replacement work,9.09,110.5,0.7,0.09,4.000180995,1.866011574
Unit 4,Hasso,01/07,13:50:00,14:50:00,60,1,HOT SAW UP/DOWN NOT,Normal operation after L/S switch replacement,1.88,68.7,2.74,0.1,6.003347889,1.352346193
Unit 4,Hasso,07/13,02:43:00,03:40:00,57,1,HOT SAW UP/DOWN NOT,Replenish oil due to lack of oil,1.02,79.8,1.28,0.1,5.001629073,1.266346193
Unit 4,Hasso,08/16,23:10:00,23:30:00,20,0.3,Gauge head stopper does not work after up operation,Normal forward/backward operation after manual operation,7.34,56.1,2.08,0.1,5.997682709,1.898346193
Unit 4,back side,01/13,19:15:00,19:20:00,5,0.1,PLC power trip,Normal operation after recovery,1.88,68.7,2.74,0.15,6.003347889,2.02851929
Unit 4,back side,02/22,18:30:00,20:20:00,110,1.8,Tailhead jaw threaded screw worn,Temporary post-welding work due to wear of the jaw thread screw,1.77,120.1,1.47,0.15,2.999666944,2.01201929
Unit 4,back side,03/02,22:00:00,22:20:00,20,0.3,END SAW No cutting oil,Coolant nozzle replacement work,0.35,115.9,0.3,0.15,4.001553063,1.79901929
Unit 4,back side,05/04,04:30:00,05:00:00,30,0.5,Gauge head conveyor operation fire,Work after replacing the encoder with spare parts,0.9,118.1,0.76,0.15,2.999068586,1.88151929
Unit 4,back side,05/24,11:05:00,11:15:00,10,0.2,Quenching pump motor trip,Post-recovery operations,0.9,118.1,0.76,0.15,2.999068586,1.88151929
Unit 4,back side,06/29,20:05:00,20:45:00,40,0.7,Stacker gantry motor not operating,Motor replacement work due to motor brake not working,1,98.8,1.01,0.15,4.000506073,1.89651929
Unit 4,back side,06/30,03:20:00,03:50:00,30,0.5,Stacker Gantry Motor Brake Slip,Brake pad replacement work,1,98.8,1.01,0.15,4.000506073,1.89651929
Unit 4,back side,07/23,19:30:00,19:50:00,20,0.3,Hendring hydraulic pump EOCR,TRIP reset pressure pair adjustment operation,1.02,79.8,1.28,0.15,5.001629073,1.89951929
Unit 4,back side,07/28,02:20:00,04:10:00,110,1.8,END SAW operation stop,Replacement of some of the breaker trip recovery wiring.,1.02,79.8,1.28,0.15,5.001629073,1.89951929
Unit 4,back side,08/22,11:40:00,12:40:00,60,1,Batching conveyor not operating,Replacement work with spare parts due to inverter burnout,1.03,39.2,2.63,0.15,9.989795918,1.90101929
Unit 4,back side,08/24,16:00:00,19:20:00,200,3.3,Discharge C/V Keep moving forward,PLC program modification,1.03,39.2,2.63,0.15,9.989795918,1.90101929
Unit 4,back side,09/02,02:00:00,02:15:00,15,0.3,space bar feeder,Solenoid replacement work,0.78,79.6,0.98,0.15,4.997487437,1.86351929
Unit 4,back side,09/08,13:58:00,15:00:00,62,1,SAW FEED C/V inverter burnout,Normal after replacing inverter with spare parts,0.78,79.6,0.98,0.15,4.997487437,1.86351929
Unit 4,back side,09/21,16:40:00,17:30:00,50,0.8,END SAW forward/backward abnormality,Normal operation after filter replacement due to hydraulic filter blockage,0.78,79.6,0.98,0.15,4.997487437,1.86351929
Unit 4,back side,09/08,13:58:00,15:00:00,62,1,Replacement work due to burnout of SAW FEED C/V inverter,440V 7.5HP IS7 (1EA) replacement and test run confirmation,0.8,36.2,2.21,0.15,10.98895028,1.86651929
Unit 4,back side,09/02,02:00:00,02:15:00,15,0.3,Request for inspection due to Jjoldae C/V Jjoldae alignment AIR S/V abnormality,AIR S/V does not operate due to foreign substances. Operates normally after cleaning.,0.8,36.2,2.21,0.15,10.98895028,1.86651929
Unit 4,back side,09/21,16:40:00,17:30:00,50,0.8,Rear cutter hydraulic unit discharge instability,Oil filter replacement and unit cleaning Oil replacement,0.8,36.2,2.21,0.15,10.98895028,1.86651929
Unit 4,back side,09/13,07:00:00,09:00:00,120,2,Gauge head forward/reverse operation not possible,V3 220V breaker repair and VCT cable 40m replacement,0.8,36.2,2.21,0.15,10.98895028,1.86651929
Unit 4,back side,09/21,16:15:00,17:25:00,70,1.2,Saw blade forward/reverse clamp UP/DOWN operation not possible,Recovery after disassembling and cleaning HYD PUMP UNIT OIL TANK and replacing suction pipe filter,0.8,36.2,2.21,0.15,10.98895028,1.86651929
Unit 4,back side,09/19,23:00:00,23:15:00,15,0.2,Request for inspection due to hydraulic MOTOR EOCR overload,Request to replenish hydraulic oil due to lack of hydraulic oil,0.8,36.2,2.21,0.15,10.98895028,1.86651929
Unit 4,back side,10/06,10:00:00,10:50:00,50,0.8,Jjoldae is not supplied,Check the air supply for slow operation of unit 3.,0.95,34.6,2.75,0.15,13.00867052,1.88901929
Unit 4,back side,10/04,13:50:00,15:50:00,120,2,Hot saw shaft bearing damage,Hot saw shaft bearing damage replacement,0.95,34.6,2.75,0.15,13.00867052,1.88901929
Unit 4,back side,10/06,10:00:00,10:10:00,10,0.2,Request for inspection due to the phenomenon of two jjolda discharge devices being discharged at a time,"The left and right sides are not aligned, so two are ejected. Request for work crew inspection",0.95,34.6,2.75,0.15,13.00867052,1.88901929
Unit 4,back side,10/18,09:00:00,11:30:00,150,2.5,Jjoldae supply guide board damaged,Reinforcement after disassembly of damage to the Jjoldae supply guide plate,0.95,34.6,2.75,0.15,13.00867052,1.88901929
Unit 4,back side,10/10,08:30:00,08:40:00,10,0.2,The hot saw table can move backwards but cannot move forward.,Checked the glass tube fuse and it was restored to normal.,0.95,34.6,2.75,0.15,13.00867052,1.88901929
Unit 4,back side,10/17,17:50:00,18:20:00,30,0.5,Jjoldae chucking device guide plate damaged,Jjoldae chucking device guide plate damage welding repair,0.95,34.6,2.75,0.15,13.00867052,1.88901929
Unit 4,back side,10/05,09:00:00,09:30:00,30,0.5,"Rear strap C/V side strap does not discharge, request inspection",AIR SOL V/V(SIV411-IP) replacement. Jamming phenomenon at unit 3,0.95,34.6,2.75,0.15,13.00867052,1.88901929
Unit 4,back side,08/11,15:00:00,15:30:00,25,0.4,Runout table C/V inoperable,"Welding area on the cylinder side is damaged, cylinder moves up.
Welding work on the affected area",7.34,56.1,2.08,0.15,5.997682709,2.84751929
Unit 4,back side,08/11,15:30:00,17:30:00,120,2,Runout table cylinder fixing plate damaged,Welding and reinforcement work on damaged areas,7.34,56.1,2.08,0.15,5.997682709,2.84751929
Unit 4,back side,10/15,21:35:00,22:10:00,35,0.6,Saw blade cannot be retracted,Operating while checking for circuit breaker and EOCR trip abnormalities,9.09,110.5,0.7,0.15,4.000180995,3.11001929
Unit 4,back side,10/30,22:00:00,22:30:00,30,0.5,Damaged sensor at the discharge part of the cutter.,BUP-50S replacement,9.09,110.5,0.7,0.15,4.000180995,3.11001929
Unit 4,etc,04/11,09:00:00,09:10:00,10,0.2,HV-9 VBC OCR TRIP,RESET,0.68,31.5,2.15,0.06,11.98634921,0.739407716
Unit 4,etc,04/12,19:43:00,19:50:00,7,0.1,HV-9 VBC OCR TRIP,RESET,0.68,31.5,2.15,0.06,11.98634921,0.739407716
Unit 4,etc,04/12,16:22:00,16:30:00,8,0.1,HV-9 VBC OCR TRIP,RESET,0.68,31.5,2.15,0.06,11.98634921,0.739407716
Unit 4,etc,04/12,14:09:00,14:20:00,11,0.2,HV-9 VBC OCR TRIP,RESET,0.68,31.5,2.15,0.06,11.98634921,0.739407716
Unit 4,etc,04/12,12:23:00,12:30:00,7,0.1,HV-9 VBC OCR TRIP,RESET,0.68,31.5,2.15,0.06,11.98634921,0.739407716
Unit 4,etc,04/18,23:10:00,23:15:00,5,0.1,HV-9 VBC OCR TRIP,RESET,0.68,31.5,2.15,0.06,11.98634921,0.739407716
Unit 4,etc,04/19,21:18:00,21:25:00,7,0.1,HV-9 VBC OCR TRIP,RESET,0.68,31.5,2.15,0.06,11.98634921,0.739407716
Unit 4,etc,04/21,06:58:00,07:05:00,7,0.1,HV-9 VBC OCR TRIP,RESET,0.68,31.5,2.15,0.06,11.98634921,0.739407716
Unit 4,etc,09/19,18:35:00,18:50:00,15,0.3,Dice heater DOOR opens but does not close.,"Replacement of AIR S/V (SV 620-1L, 110V) for DOOR opening/closing",0.8,36.2,2.21,0.06,10.98895028,0.746607716
Unit 5,extruder,02/17,01:40:00,02:50:00,70,1.17,billet loader auxiliary loader,Silinda replacement work,1.22,113.9,1.07,0.35,2.999122037,4.502211677
Unit 5,extruder,03/18,09:36:00,10:10:00,34,0.57,Buttlocker is loaded and more,Replaced with Silinda spare part,1.26,58.8,2.14,0.35,6.994217687,4.516211677
Unit 5,extruder,04/04,17:13:00,17:50:00,37,0.62,Dice Clump Fixing Bolt,Replacement work after shear failure,0.81,48.1,1.7,0.35,6.001871102,4.358711677
Unit 5,extruder,04/07,20:00:00,21:10:00,70,1.17,No container sealing pressure,Container stop limit adjustment work,0.81,48.1,1.7,0.35,6.001871102,4.358711677
Unit 5,extruder,04/07,08:30:00,09:30:00,60,1,Container heater sensor connection,work,0.81,48.1,1.7,0.35,6.001871102,4.358711677
Unit 5,extruder,04/27,09:20:00,09:35:00,15,0.25,Villette Roda (assistant),Detection sensor adjustment operation,0.81,48.1,1.7,0.35,6.001871102,4.358711677
Unit 5,extruder,05/13,07:00:00,07:30:00,30,0.5,billet carrier operation fire,Replacement work after limit inspection,0.5,231.9,0.22,0.35,1.000043122,4.250211677
Unit 5,extruder,07/25,10:10:00,16:30:00,380,6.33,Post-puff operation during automatic operation,END signal comes on cable,1.88,72.5,2.6,0.35,4.998344828,4.733211677
Unit 5,extruder,08/17,14:20:00,14:50:00,30,0.5,Due to compressor failure,Air shortage machine stops,1.05,13.5,7.74,0.35,20.05185185,4.442711677
Unit 5,extruder,09/23,12:03:00,12:30:00,27,0.45,Billet auxiliary lower pad,Bolt replacement after fastening bolt shear failure,0.53,82.9,0.64,0.35,4,4.260711677
Unit 5,extruder,09/23,12:03:00,12:30:00,27,0.5,Auxiliary loader fastening bolt damaged,Replacement of damaged auxiliary loader fastening bolts,0.68,36.8,1.84,0.35,9.010869565,4.313211677
Unit 5,extruder,09/26,09:30:00,09:40:00,10,0.2,Request for replacement of damaged Dai Cassette photo sensor (BUP-30S),Dai Cassette Photo Sensor (BUP-30S) Damaged Replaced,0.68,36.8,1.84,0.35,9.010869565,4.313211677
Unit 5,extruder,09/30,17:00:00,17:15:00,15,0.2,Billet loader NO.1 UP detection lead S/W not detected,Billet loader NO.1 cylinder rod loosened and restored after retightening,0.68,36.8,1.84,0.35,9.010869565,4.313211677
Unit 5,extruder,10/10,08:30:00,10:55:00,145,2.4,Shinyang 2 100HP compressor water inflow,"Shinyang 2 100HP compressor water inflow cleaning and
Part replacement",1.78,67,2.65,0.35,3.998507463,4.698211677
Unit 5,extruder,08/15,08:47:00,10:20:00,93,1.55,Pushback operation error,Pushback replacement work,8.54,46.9,2.18,0.35,5.997654584,7.064211677
Unit 5,extruder,08/22,19:30:00,21:00:00,90,1.5,Gauge head brake hydraulic cylinder replacement,Repair after dismantling the cylinder,8.54,46.9,2.18,0.35,5.997654584,7.064211677
Unit 5,extruder,09/04,22:00:00,22:15:00,5,0.08,Cycle start not possible,Illuminated s/w contact point was replaced due to burnout.,8.61,71.9,1.36,0.35,3.99930459,7.088711677
Unit 5,extruder,10/02,05:17:00,05:30:00,13,0.22,Chain detection sensor bolt broken,Replacement work after dismantling damaged bolts,7.88,43.6,1.01,0.35,5.995642202,6.833211677
Unit 5,extruder,11/06,19:00:00,20:10:00,65,1.08,Automatic extrusion operation is not possible,"Main loader rise limit S/W continues to detect,
S/W replacement",4.94,38.9,6.52,0.35,7.995115681,5.804211677
Unit 5,extruder,11/08,08:30:00,16:20:00,470,7.83,container cylinder oil leak,Welding after dismantling the rear of the container,4.94,38.9,6.52,0.35,7.995115681,5.804211677
Unit 5,extruder,11/14,13:30:00,16:10:00,160,2.67,Logsha main cylinder leak,O-ring replacement work in the relevant area,4.94,38.9,6.52,0.35,7.995115681,5.804211677
Unit 5,heating furnace,02/20,01:40:00,02:40:00,60,1,Billet furnace pushback,Silinda oil leak replacement work,1.22,113.9,1.07,0.25,2.999122037,3.215865483
Unit 5,heating furnace,03/05,06:30:00,07:00:00,30,0.5,Billet call no,Program error occurred,1.26,58.8,2.14,0.25,6.994217687,3.225865483
Unit 5,heating furnace,03/07,09:30:00,10:00:00,30,0.5,Logsha during automatic driving,Replacing the sensor that stops at the cutting area,1.26,58.8,2.14,0.25,6.994217687,3.225865483
Unit 5,heating furnace,03/11,18:20:00,19:20:00,60,1,No shaft operation during automatic operation,Replace defective pusher pull back sensor,1.26,58.8,2.14,0.25,6.994217687,3.225865483
Unit 5,heating furnace,03/18,09:36:00,10:10:00,34,0.57,Ejector cylinder leak,Spare parts loading replacement work,1.26,58.8,2.14,0.25,6.994217687,3.225865483
Unit 5,heating furnace,03/19,23:00:00,23:40:00,40,0.67,Billet call no,Billet counter sensor replacement work,1.26,58.8,2.14,0.25,6.994217687,3.225865483
Unit 5,heating furnace,04/01,10:20:00,11:10:00,50,0.83,Birette heating furnace HOT JAT,FAN bearing replacement work,0.81,48.1,1.7,0.25,6.001871102,3.113365483
Unit 5,heating furnace,06/09,09:50:00,10:30:00,40,0.67,Logsha ejector cylinder leak,Replacement work with spare parts,0.86,92.9,0.92,0.25,4.001829925,3.125865483
Unit 5,heating furnace,07/11,08:10:00,09:30:00,80,1.33,Furnace exit door detection,"Limit switch burned out, replaced",1.88,72.5,2.6,0.25,4.998344828,3.380865483
Unit 5,heating furnace,07/13,13:30:00,14:00:00,30,0.5,Heating furnace zone 2 does not ignite.,CR replacement work,1.88,72.5,2.6,0.25,4.998344828,3.380865483
Unit 5,heating furnace,08/04,08:00:00,09:00:00,60,1,Billet Furnace Door,Limit wiring burnout replacement work,1.05,13.5,7.74,0.25,20.05185185,3.173365483
Unit 5,heating furnace,08/18,14:00:00,14:15:00,15,0.25,Logsha clamp does not work,PLC output card output is defective. Normal operation after attaching and detaching the terminal.,1.05,13.5,7.74,0.25,20.05185185,3.173365483
Unit 5,heating furnace,08/20,04:20:00,05:00:00,40,0.67,Logsha hydraulic unit motor,Check trip motor due to overcurrent,1.05,13.5,7.74,0.25,20.05185185,3.173365483
Unit 5,heating furnace,08/30,01:30:00,02:30:00,60,1,Logsha top clamp rod damaged,Disassembly of billet catch part,1.05,13.5,7.74,0.25,20.05185185,3.173365483
Unit 5,heating furnace,09/19,08:30:00,09:15:00,45,0.75,Billet Furnace Hydraulic Pump,Normal after motor trip power ON/OFF,0.53,82.9,0.64,0.25,4,3.043365483
Unit 5,heating furnace,09/19,08:30:00,09:15:00,45,0.8,Heating furnace hydraulic pump continues to overload and trip and cradle down does not work.,"After turning off the power and attaching and detaching the PLC IN/OUT card, the hydraulic pump operates normally and the cradle is down and the inflow S/V wiring is disconnected and reconnected.",0.68,36.8,1.84,0.25,9.010869565,3.080865483
Unit 5,heating furnace,09/01,12:30:00,13:30:00,60,1,Pushbeck cylinder oil leak,Pushback cylinder oil leak replacement,0.68,36.8,1.84,0.25,9.010869565,3.080865483
Unit 5,heating furnace,10/28,03:00:00,03:20:00,20,0.3,Request for replacement due to burnout of ZONE#3 external cylinder,External tube replacement work,1.78,67,2.65,0.25,3.998507463,3.355865483
Unit 5,heating furnace,08/30,04:00:00,04:15:00,15,0.25,Purge operation is not possible due to billet heating.,Reconnection of wire disconnection in M/M,8.54,46.9,2.18,0.25,5.997654584,5.045865483
Unit 5,heating furnace,10/07,14:00:00,14:45:00,40,0.67,Zone#2 External dent,External tube replacement and inner tube welding work,7.88,43.6,1.01,0.25,5.995642202,4.880865483
Unit 5,heating furnace,10/11,15:30:00,16:30:00,60,1,Pushback not working,Check ZONE #2 lead S/W calibration PLC program,7.88,43.6,1.01,0.25,5.995642202,4.880865483
Unit 5,heating furnace,10/21,07:30:00,07:50:00,20,0.33,UP operation is not possible after cutting the log shaft.,Cradle correct position detection proximity sensor replacement,7.88,43.6,1.01,0.25,5.995642202,4.880865483
Unit 5,heating furnace,11/10,08:30:00,11:00:00,150,2.5,Temperature does not rise with heating,Full repair work,4.94,38.9,6.52,0.25,7.995115681,4.145865483
Unit 5,heating furnace,11/17,08:30:00,12:30:00,240,4,Billet auto call does not work,"Replace TC card, check cycle stop S/W contact point
Replacement of 2 hotjet fan SSRs",4.94,38.9,6.52,0.25,7.995115681,4.145865483
Unit 5,heating furnace,11/21,11:35:00,12:12:00,37,0.62,Leakage at cylinder rod area,Cylinder replacement work,4.94,38.9,6.52,0.25,7.995115681,4.145865483
Unit 5,fuller,01/25,08:30:00,10:00:00,90,1.5,Fuller distance value or higher,Normal after replacing POWER SUPPLY,1.5,376.9,0.4,0.09,1.000026532,1.182911574
Unit 5,fuller,02/15,13:30:00,15:00:00,90,1.5,Puller jaw and tray not working,Collision damage to tray gear area,1.22,113.9,1.07,0.09,2.999122037,1.157711574
Unit 5,fuller,04/08,23:28:00,00:30:00,62,1.03,Puller hydraulic motor does not start,Motor bearing wear replacement work,0.81,48.1,1.07,0.09,6.001871102,1.120811574
Unit 5,fuller,06/21,20:30:00,20:50:00,20,0.33,fuller roller bearing noise,Grease injection after bearing removal,0.86,92.9,0.92,0.09,4.001829925,1.125311574
Unit 5,fuller,08/11,17:00:00,20:00:00,180,3,puller wire rope tension,Assemble after processing wheel bearing damage,1.05,13.5,7.74,0.09,20.05185185,1.142411574
Unit 5,fuller,08/18,16:03:00,17:05:00,62,1.03,puller drive reducer,Replacement work (reducer bearing),1.05,13.5,7.74,0.09,20.05185185,1.142411574
Unit 5,fuller,08/24,18:30:00,19:40:00,70,1.17,Rail jams during puller operation,Phenomenon roller bearing replacement,1.05,13.5,7.74,0.09,20.05185185,1.142411574
